,subj_id,ch_name,device,include_elec,include_inf,fif_idx,elecfile_idx,anat,short_anat,x,y,z,x_warp,y_warp,z_warp,x_inf,y_inf,z_inf,x_inf_warp,y_inf_warp,z_inf_warp,r,g,b,a,value_norm,value_native,spkr_p,mic_p
30,DC8,RMdTm52,RMdTm,False,True,30,31,Right-Cerebral-White-Matter,wm,31.742868502137014,-19.01405111225884,-10.902962149884758,38.3322,-11.724999999999994,-14.201999999999998,-11.302793502807617,-15.624578475952148,-45.953208923339844,19.37706756591797,-0.03517960011959076,-12.1416015625,1.0,1.0,1.0,1.0,0.4690776058763426,-0.10828750960185247,0.214,0.19
31,DC8,RMdTm53,RMdTm,True,True,31,32,ctx_rh_S_temporal_sup,STS,35.38584633734229,-18.447267264674366,-10.6757993685099,45.264300000000006,-15.284999999999997,-15.664999999999992,41.84304428100586,-18.701393127441406,-36.447513580322266,38.09123229980469,-21.282093048095703,-20.005138397216797,0.7993411764705882,0.6556,0.8032,1.0,0.32923499486330043,-0.3586351694700093,0.243,0.044
32,DC8,RMdTm54,RMdTm,False,True,32,33,ctx_rh_S_temporal_sup,STS,38.298876851207694,-17.311336695143495,-11.100298483467952,46.980199999999996,-13.810000000000002,-14.024000000000001,41.566566467285156,-15.525010108947754,-38.619991302490234,38.29049301147461,-20.452423095703125,-19.52768325805664,1.0,1.0,1.0,1.0,0.5235250050487231,-0.010815223651459259,0.103,0.082
33,DC8,RMdTm55,RMdTm,True,True,33,34,ctx_rh_S_temporal_sup,STS,41.21190736507316,-16.501237073779095,-10.873135702093094,49.44499999999999,-11.572000000000003,-13.549000000000007,41.245689392089844,-11.87584400177002,-41.30296325683594,38.574462890625,-19.17638397216797,-19.670490264892578,1.0,1.0,1.0,1.0,0.4933798456227022,-0.06478139364776317,0.09,0.035
34,DC8,RMdTm56,RMdTm,False,True,34,35,ctx_rh_S_temporal_sup,STS,44.12493787893857,-15.69113745241468,-10.645972920718236,53.02889999999999,-10.567999999999998,-14.280000000000001,41.253143310546875,-9.21517276763916,-44.373172760009766,39.537471771240234,-16.897066116333008,-18.783222198486328,0.067,0.463,0.196,1.0,0.9281654985361412,0.7135762897694651,0.095,0.524
35,DC8,RMdTm57,RMdTm,True,True,35,36,ctx_rh_S_temporal_sup,STS,47.524599940363885,-13.825259561543959,-10.74464108750982,56.4453,-8.605000000000004,-15.12899999999999,41.22091293334961,-5.387569427490234,-47.9490852355957,40.3724479675293,-14.74028205871582,-18.42422103881836,0.067,0.463,0.196,1.0,0.8679246050291416,0.6057324315305935,0.025,0.257
36,DC8,RMdTm58,RMdTm,True,True,36,37,ctx_rh_G_temp_sup-Lateral,STG,51.65420932312901,-12.932644765793015,-11.494971150634342,59.916700000000006,-9.036000000000001,-19.872000000000014,44.34189987182617,-16.205638885498047,-26.077653884887695,40.91694259643555,-10.331714630126953,-20.268226623535156,0.8865764705882357,0.9347176470588238,0.9022588235294121,1.0,0.5783508377756436,0.08733453788458247,0.015,0.032
37,DC8,RMdTm71,RMdTm,False,True,37,38,Right-Cerebral-White-Matter,wm,34.85190338932529,-35.40916662603777,-7.78233610621993,39.95569999999999,-29.377499999999998,-19.635999999999996,,,,-5.4672956466674805,-49.532535552978516,-44.33009719848633,0.584,0.286,0.592,1.0,0.18420301152626584,-0.618272896279028,0.48,0.054
38,DC8,RMdTm72,RMdTm,True,True,38,39,Right-Cerebral-White-Matter,wm,38.774078123447026,-34.869300066048694,-8.190098840524996,45.1887,-29.998800000000003,-21.113,,,,29.618953704833984,-53.978878021240234,-43.09925842285156,0.6035764705882353,0.3196,0.6112,1.0,0.21143354402981118,-0.5695245209459147,0.372,0.042
39,DC8,RMdTm73,RMdTm,False,True,39,40,Right-Cerebral-White-Matter,wm,42.84613855481564,-34.68492475544339,-8.08994862621745,50.64619999999999,-29.739900000000006,-20.491000000000014,,,,38.78840637207031,-46.41629409790039,-13.985703468322754,0.7471372549019608,0.566,0.752,1.0,0.298180447731211,-0.4142293345564929,0.31,0.135
40,DC8,RMdTm74,RMdTm,False,True,40,41,ctx_rh_G_temporal_middle,MTG,46.34926945631645,-34.31090626821549,-7.989798411909931,53.729600000000005,-32.025400000000005,-19.270999999999987,41.23554992675781,-54.32976150512695,-37.53955841064453,38.90314483642578,-46.83998107910156,-14.401971817016602,0.9233254901960783,0.8683999999999998,0.9248000000000001,1.0,0.4048942722837803,-0.22318916404776865,0.359,0.313
41,DC8,RMdTm75,RMdTm,False,True,41,42,ctx_rh_G_temporal_middle,MTG,49.473114004572096,-34.12653095761017,-7.6356917232961905,58.1669,-35.673,-18.183999999999997,41.12278747558594,-54.461448669433594,-36.78922653198242,39.87855529785156,-48.68242645263672,-17.778518676757812,0.6524117647058827,0.7999411764705885,0.7004705882352944,1.0,0.6438422764894973,0.20457797537934577,0.371,0.547
